gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,89.5,19.0,4.1,40.5,null
002,95.9,26.7,9.7,56.1,null
003,96.7,26.3,15.0,53.5,null
004,136.5,32.2,21.6,65.7,null
005,127.5,32.9,28.4,67.9,null
006,146.5,33.3,35.4,70.2,null
007,158.8,35.4,42.8,73.8,null
008,146.5,34.1,49.9,71.0,null
009,210.5,36.0,57.5,75.5,null
010,177.9,37.0,65.1,75.9,null
011,223.9,37.1,73.3,79.1,null
012,204.9,40.7,82.1,87.9,null
013,221.8,36.7,90.1,80.3,null
014,185.3,43.4,99.6,94.7,null
015,255.5,41.5,108.5,89.5,null
016,197.0,42.8,117.9,93.6,null
017,249.4,45.3,127.6,96.6,null
018,210.4,43.7,136.9,93.6,null
019,383.4,48.7,147.5,105.8,null
020,266.5,46.0,157.6,100.1,null
021,306.0,52.7,169.8,118.6,null
022,249.2,55.2,181.8,119.8,null
023,462.5,55.1,193.7,118.9,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
024,273.7,65.1,209.0,153.4,null
025,428.4,67.9,224.0,150.4,null
026,412.2,60.1,237.6,135.4,null
027,299.4,70.3,253.5,159.1,null
028,471.4,82.6,271.7,181.7,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
029,428.0,83.4,290.9,192.1,null
030,493.7,90.8,310.2,193.0,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
031,479.6,84.8,329.8,191.3,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
032,434.5,94.4,350.9,210.7,null
033,424.4,109.9,375.2,243.2,null
034,494.4,167.6,411.8,366.1,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
035,430.9,102.9,434.2,223.3,null
036,389.7,118.0,459.2,250.2,null
037,481.6,144.5,490.1,308.6,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
038,436.7,164.4,527.5,374.2,null
039,420.0,204.0,574.4,469.5,null
040,419.1,249.4,630.5,561.0,null
041,433.8,257.3,686.6,555.0,null
042,486.4,283.4,751.9,652.6,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
043,485.1,299.1,816.5,646.3,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
044,445.8,249.7,870.7,541.5,null
045,369.6,218.1,920.1,494.5,null
046,418.8,248.6,973.6,534.7,null
047,408.5,253.6,1027.8,542.0,null
048,492.7,340.2,1099.3,714.5,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
049,493.4,310.2,1167.0,676.7,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
050,490.4,341.7,1239.3,723.2,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
051,404.4,243.5,1292.4,524.8,null
052,432.9,225.2,1340.1,476.9,null
053,497.5,360.8,1416.0,758.6,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
054,417.4,231.5,1464.3,483.1,null
055,495.3,350.5,1538.9,746.0,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
056,491.0,316.4,1604.2,653.3,11010101010011110001100101101111011010110110111100001011101000111000011111101010111010011000101100001010101100100101010100101101
057,415.1,269.9,1661.5,572.8,null
058,443.3,254.9,1716.5,549.8,null
059,430.5,266.3,1774.3,578.1,null
060,448.8,254.4,1828.7,543.6,null
